Method,Type,PALM_iters,DDFM_steps,PSNR_MRI,SSIM_MRI,PSNR_US,SSIM_US
DDFM,Baseline,0,100,21.412662356715195,0.5020985204651748,8.908234964171433,0.18984600866439053
PALM1,Baseline,1,0,19.794381508890282,0.521228635305602,8.000305438992065,0.11024484592393839
P1_D10,Hybrid,1,10,27.214891927180325,0.8784366124823796,7.5848661688925345,0.10160264208453818
P1_D25,Hybrid,1,25,25.653757548767153,0.6900311588396882,7.980693623779684,0.1289366237681529
P1_D50,Hybrid,1,50,21.75142042258432,0.5189747377142439,8.811855576535805,0.17605865426434078
P1_D75,Hybrid,1,75,21.680669008566355,0.5120632517656184,8.819868940360436,0.18278756275952704
P1_D100,Hybrid,1,100,21.844615163283127,0.5118015814612714,8.780266604995083,0.18517514721338088
PALM5,Baseline,5,0,18.88787997438515,0.5039639683777359,8.180064851346614,0.11631706881040942
PALM10,Baseline,5,0,18.887397626245274,0.5039588212438982,8.180142028020184,0.11632266851412923
P5_D10,Hybrid,5,10,27.25362972622049,0.8793330449384517,7.5774635996559825,0.10209731840451083
P5_D25,Hybrid,5,25,25.131950270854652,0.6584308882245422,8.078503733884958,0.1334066303483321
P5_D50,Hybrid,5,50,21.468093123333198,0.5124372959480171,8.890210833027938,0.17869307041125546
P5_D75,Hybrid,5,75,21.623482338928405,0.511277080867584,8.834757076107554,0.18303345079778646
P5_D100,Hybrid,5,100,21.5923205033629,0.5066243557936428,8.842188651153005,0.18748374475047846
